YEAR,WEEK,% WEIGHTED ILI,REGIONAL ILI BASELINE,Precip,Temp,Temp_off
2006,3,16.14357782,0.88594986,-3.682879897,-34.42666608,12.26067614
2006,4,14.07792892,0.88594986,7.081083775,-27.78197992,20.30716152
2006,5,11.96180855,0.88594986,9.830062332,-28.92086681,19.87045759
2006,6,10.06137315,0.88594986,17.66861988,-24.47903745,24.30463807
2006,7,8.465812594,0.88594986,17.80311722,-27.00739199,21.0589141
2006,8,7.164014547,0.88594986,22.79368162,-23.73991125,22.90974137
2006,9,6.105555436,0.88594986,20.60925538,-26.55572256,17.99860248
2006,10,5.233531897,0.88594986,24.85550166,-21.76412005,20.04668679
2006,11,4.498203182,0.88594986,20.57526689,-24.31174703,14.14726459
2006,12,3.861037389,0.88594986,26.98174176,-15.0511458,19.49655655
2006,13,3.294800521,0.88594986,15.29215267,-22.90268676,7.231095272
2006,14,2.782251705,0.88594986,17.87466232,-15.69755076,9.583915028
2006,15,2.314375282,0.88594986,9.15062694,-19.26045011,0.80089655
2006,16,1.888393165,0.88594986,11.71989429,-11.26564634,3.2837223
2006,17,1.505613174,0.88594986,7.742175771,-9.834779093,-1.009057363
2006,18,1.169214086,0.88594986,-2.716851901,-15.16957341,-12.19589802
2006,19,0.882185549,0.88594986,3.325674455,-4.52078782,-7.442420752
2006,20,0.645719786,0.88594986,9.045190517,5.10400703,-3.670429371
2006,21,0.458320311,0.88594986,6.480943875,5.624127962,-8.875458593
2006,22,0.315736211,0.88594986,4.558439397,5.915300649,-14.09849142
2006,23,0.2116054,0.88594986,-0.577582274,2.143776796,-23.09305373
2006,24,0.138500405,0.88594986,13.41525085,16.73987944,-13.35283603
2006,25,0.089005953,0.88594986,10.60896084,13.91963631,-20.59116563
2006,26,0.056537698,0.88594986,10.83334483,13.69790451,-24.72890968
2006,27,0.0357757,0.88594986,24.17382685,26.3679156,-15.41586522
2006,28,0.022743844,0.88594986,14.73685951,16.24664906,-28.28621455
2006,29,0.014655068,0.88594986,22.25102211,23.25590876,-23.37815925
2006,30,0.009654176,0.88594986,28.63900608,29.47601689,-18.58080814
2006,31,0.006554703,0.88594986,25.95786726,27.07107868,-21.70935727
2006,32,0.004619691,0.88594986,21.28789307,23.16745621,-25.62691722
2006,33,0.003400231,0.88594986,19.77743462,22.89369897,-25.20473575
2006,34,0.002626031,0.88594986,21.94253174,26.68118782,-20.02155673
2006,35,0.002135413,0.88594986,20.42621817,27.03030307,-17.59730481
2006,36,0.001832333,0.88594986,15.23339352,23.75742774,-18.1457867
2006,37,0.001660801,0.88594986,18.83335349,29.1138517,-9.455347911
2006,38,0.001590116,0.88594986,9.07680283,20.72201138,-13.95205631
2006,39,0.001683937,0.88594986,3.372918079,15.77299633,-14.50148998
2006,40,0.001816675,0.90501,7.546882596,19.90400146,-5.530460531
2006,41,0.001996055,0.90501,-7.47525728,3.900869429,-16.32353953
2006,42,0.002232541,0.90501,4.96652953,14.34514772,-0.374977012
2006,43,0.002540103,0.90501,5.80859027,12.16539672,3.163709301
2006,44,0.002937208,0.90501,3.33386793,5.710694977,2.55840431
2006,45,0.003448086,0.90501,0.728487658,-1.695609447,1.047357175
2006,46,0.004104309,0.90501,6.759928869,-1.086423326,7.511895026
2006,47,0.004946731,0.90501,19.26501667,5.623217806,19.95179679
2006,48,0.00602778,0.90501,10.70461767,-8.827061131,11.02332173
2006,49,0.007414086,0.90501,5.549824921,-19.67726967,5.406127331
2006,50,0.009189299,0.90501,23.7003339,-6.750043461,23.20144637
2006,51,0.011456874,0.90501,19.00248196,-15.95309972,18.43073906
2006,52,0.014342393,0.90501,20.10578906,-18.44063035,19.87533026
2007,1,0.017994806,0.90501,16.9186079,-24.17155132,17.51909824
2007,2,0.022585713,0.90501,22.37354651,-20.1528099,24.30599967
2007,3,0.028305586,0.90501,24.68215476,-18.1875573,28.39261125
2007,4,0.035355699,0.90501,16.2375592,-25.96929329,22.05457101
2007,5,0.043934595,0.90501,13.61875287,-27.068577,21.70031646
2007,6,0.054218271,0.90501,19.30450629,-19.20512238,29.59929474
2007,7,0.066334129,0.90501,9.683295392,-26.22008435,21.90983412
2007,8,0.080329975,0.90501,7.396496116,-25.71280309,21.04240723
2007,9,0.09614111,0.90501,2.748058616,-27.61049774,17.08979464
2007,10,0.113560361,0.90501,8.661738634,-19.19157901,22.80348124
2007,11,0.132217372,0.90501,-1.782052532,-27.53216172,11.14670878
2007,12,0.151574007,0.90501,7.293241205,-16.85415555,17.94581259
2007,13,0.170941625,0.90501,7.774286132,-15.30413445,15.11065023
2007,14,0.189523031,0.90501,2.888242104,-19.62163146,5.965485726
2007,15,0.206477364,0.90501,11.60545449,-10.74105834,9.646141753
2007,16,0.221000811,0.90501,14.91042516,-7.530863907,7.35981957
2007,17,0.232411451,0.90501,15.72328305,-6.886824452,2.290707969
2007,18,0.24022414,0.90501,25.85107482,3.201134936,6.531998616
2007,19,0.244202208,0.90501,8.566448586,-13.79227152,-16.35653506
2007,20,0.244376989,0.90501,14.75067236,-6.804630824,-15.22671584
2007,21,0.241032704,0.90501,15.24987428,-4.847885108,-19.00526442
2007,22,0.234661211,0.90501,23.75666108,5.858246136,-13.82846137
2007,23,0.225896605,0.90501,30.78942132,15.85509703,-9.074530143
2007,24,0.215442334,0.90501,30.37034977,19.11810499,-10.69175763
2007,25,0.204002946,0.90501,22.77841775,15.81076831,-18.44564631
2007,26,0.192229572,0.90501,22.46659303,20.20877509,-17.99581823
2007,27,0.180683953,0.90501,14.65661907,17.30707072,-24.28988861
2007,28,0.169821606,0.90501,14.83250101,22.33001296,-22.05414648
2007,29,0.159991567,0.90501,11.51874624,23.52929018,-22.99635438
2007,30,0.151448412,0.90501,3.266312246,19.19092637,-28.79933332
2007,31,0.144371949,0.90501,3.539751606,22.54311298,-26.21358414
2007,32,0.138890562,0.90501,2.94195136,23.99954205,-24.81426443
2007,33,0.135105419,0.90501,9.987953355,31.94817656,-16.21258036
2007,34,0.133113966,0.90501,-1.920553342,19.73580141,-27.07124782
2007,35,0.133032287,0.90501,-6.239271482,13.9283115,-30.84406606
2007,36,0.13501682,0.90501,9.973944708,27.56418704,-14.52215595
2007,37,0.139286505,0.90501,4.431979914,18.51967472,-20.26834808
2007,38,0.146146952,0.90501,9.091504425,18.96882607,-15.95657594
2007,39,0.155921602,0.90501,18.70077777,23.91408102,-6.64059425
2007,40,0.169419533,1.4,13.1675946,13.5342197,-12.20520962
2007,41,0.187427072,1.4,17.74702575,13.35100299,-7.198714896
2007,42,0.21099701,1.4,28.88879951,20.056103,4.995060425
2007,43,0.241522221,1.4,25.23496974,12.49066747,3.137413096
2007,44,0.280828092,1.4,25.71080355,9.721945984,6.21255395
2007,45,0.331285581,1.4,21.87822768,3.387484606,5.773010674
2007,46,0.395944428,1.4,15.63202331,-4.612179756,3.633559016
2007,47,0.47868144,1.4,11.8842443,-9.426596508,4.559393315
2007,48,0.584350661,1.4,15.76429895,-6.047065111,13.4757031
2007,49,0.718909042,1.4,24.07583058,2.163508302,26.9390314
2007,50,0.889471569,1.4,12.27161355,-9.537386845,20.13044889
2007,51,1.104223025,1.4,9.235978935,-12.46997941,21.65855176
2007,52,1.372081994,1.4,7.715613323,-14.08128994,24.01142385
2008,1,1.701984093,1.4,2.351678589,-19.89395731,21.60875409
2008,2,2.101643,1.4,-3.754073841,-26.92379375,17.3851205
2008,3,2.575689448,1.4,16.40481214,-8.223477565,38.24701923
2008,4,3.123219235,1.4,1.536565118,-25.07849445,22.8775172
2008,5,3.735034169,1.4,3.580230028,-25.47692365,23.26692342
2008,6,4.391222274,1.4,-1.800670583,-33.6205511,15.20199025
2008,7,5.06008464,1.4,8.502003321,-26.21506522,21.97588443
2008,8,5.699537524,1.4,11.36172451,-26.16438066,20.69387991
2008,9,6.261705725,1.4,14.21082742,-25.79559141,19.04827106
2008,10,6.700354569,1.4,9.23363539,-32.68621216,9.490849308
2008,11,6.979408915,1.4,29.33502796,-13.71614497,25.18051008
2008,12,7.079871322,1.4,30.84698033,-12.38009859,22.67026904
2008,13,7.002749957,1.4,26.33171798,-16.00020475,14.69395145
2008,14,6.767175248,1.4,17.39982329,-22.91914588,2.972250477
2008,15,6.40482603,1.4,25.65935103,-11.55676722,9.155192945
2008,16,5.952953631,1.4,19.27018545,-13.85543083,1.375768909
2008,17,5.448198726,1.4,16.68561405,-11.5321307,-2.003279775
2008,18,4.922439008,1.4,22.43339882,-0.285587658,3.402285678
2008,19,4.400838957,1.4,6.59507551,-10.30055557,-12.50731219
2008,20,3.901601218,1.4,7.315130655,-3.719034649,-11.78831662
2008,21,3.436723126,1.4,3.616271659,-1.803790541,-15.61820336
2008,22,3.013170765,1.4,5.255838878,4.939121255,-14.4194459
2008,23,2.634095104,1.4,-4.159932015,-0.106200714,-24.72728756
2008,24,2.299905561,1.4,-0.479787499,7.046342547,-22.47906853
2008,25,2.009142233,1.4,6.790596344,16.79388534,-17.20630481
2008,26,1.759153137,1.4,6.537930974,17.99927064,-19.98105291
2008,27,1.54660704,1.4,1.085583104,13.0346371,-28.37326992
2008,28,1.367875489,1.4,11.08949114,22.67071452,-21.56236046
2008,29,1.21931251,1.4,-1.133931105,9.392761935,-37.02196404
2008,30,1.097454255,1.4,12.22917211,21.2212678,-26.69985285
2008,31,0.99915617,1.4,20.32040164,27.52308894,-21.20725454
2008,32,0.921682384,1.4,15.9664901,21.34841903,-27.48220263
2008,33,0.862760351,1.4,21.05719342,24.78875275,-23.43174353
2008,34,0.820612585,1.4,14.55435453,16.96821155,-29.9406321
2008,35,0.793976255,1.4,27.23712697,28.77472705,-16.14001907
2008,36,0.782120208,1.4,13.37907002,14.52798468,-27.73922978
2008,37,0.784867785,1.4,19.83209905,21.05988359,-17.94488222
2008,38,0.802632524,1.4,18.27966453,19.9701752,-15.20468811
2008,39,0.845693263,1.4,17.41229937,19.81020124,-11.02302437
2008,40,0.900055705,1.5,10.19505425,13.36354265,-12.67947361
2008,41,0.967412065,1.5,20.55511857,24.3507397,3.476814951
2008,42,1.049728206,1.5,1.485441572,5.552427835,-9.848724852
2008,43,1.149254873,1.5,7.502966146,11.28782337,1.583503651
2008,44,1.268513553,1.5,-10.29767396,-7.512334614,-11.37863981
2008,45,1.410243051,1.5,3.30851228,4.263457115,6.291414696
2008,46,1.577288418,1.5,5.559641503,3.802699724,11.6954167
2008,47,1.772410103,1.5,-1.853680745,-7.184483346,6.458167248
2008,48,1.997989796,1.5,8.449230615,-1.226355768,17.96775079
2008,49,2.255613309,1.5,8.61716818,-6.016164116,18.45015638
2008,50,2.5455239,1.5,14.39113859,-5.598332879,23.78425768
2008,51,2.86596609,1.5,8.13485237,-17.35312805,16.51826521
